Tiempo en seg,Referencia,Salida,Estado 1 (VC1),Control (Vi)
121584.4439056,0.59,0.59,0.82,1.85
121584.5076852,0.59,0.59,0.82,1.85
121584.571499,0.59,0.59,0.82,1.85
121584.6234103,0.59,0.59,0.82,1.85
121584.6753404,0.59,0.59,0.82,1.85
121584.735486,0.59,0.59,0.82,1.85
121584.7875529,0.59,0.59,0.82,1.85
121584.8459697,0.59,0.59,0.82,1.85
121584.9093899,0.59,0.59,0.82,1.85
121584.9728611,0.59,0.59,0.82,1.85
121585.0360642,0.59,0.6,0.83,1.82
121585.0992979,0.59,0.59,0.82,1.85
121585.1622804,0.59,0.59,0.81,1.85
121585.2262449,0.59,0.59,0.81,1.86
121585.2801732,0.59,0.59,0.82,1.85
121585.3371143,0.59,0.59,0.82,1.85
121585.3878199,0.59,0.59,0.82,1.85
121585.4485705,0.59,0.6,0.83,1.82
121585.5041584,0.59,0.59,0.82,1.84
121585.5596823,0.59,0.6,0.83,1.82
121585.6098584,0.59,0.59,0.81,1.85
121585.670881,0.59,0.6,0.83,1.82
121585.7216791,0.59,0.59,0.81,1.85
121585.7815574,0.59,0.59,0.81,1.85
121585.8320729,0.59,0.59,0.81,1.85
121585.8920841,0.59,0.59,0.82,1.85
121585.9430484,0.59,0.59,0.82,1.85
121586.0040521,0.59,0.6,0.83,1.82
121586.0570732,0.59,0.59,0.82,1.84
121586.1077674,0.59,0.6,0.83,1.82
121586.1588971,0.59,0.59,0.81,1.84
121586.2133263,0.6,0.6,0.83,1.82
121586.2637729,0.59,0.59,0.81,1.84
121586.3139974,0.59,0.59,0.81,1.85
121586.3772071,0.59,0.59,0.79,1.88
121586.4278636,0.59,0.59,0.81,1.85
121586.478143,0.59,0.6,0.83,1.81
121586.5366212,0.59,0.59,0.81,1.84
121586.600389,0.59,0.59,0.81,1.84
121586.6644226,0.59,0.59,0.81,1.84
121586.7279737,0.59,0.59,0.8,1.87
121586.79167,0.59,0.59,0.82,1.84
121586.8555098,0.59,0.59,0.82,1.84
121586.9189883,0.59,0.59,0.82,1.84
121586.9708537,0.59,0.59,0.82,1.84
121587.0299784,0.59,0.59,0.82,1.84
121587.0936811,0.59,0.59,0.82,1.84
121587.1574286,0.59,0.59,0.82,1.84
121587.2151559,0.59,0.59,0.82,1.84
121587.2663367,0.59,0.59,0.82,1.84
121587.3167989,0.59,0.59,0.82,1.84
121587.3801133,0.59,0.59,0.82,1.84
121587.4436133,0.59,0.59,0.82,1.84
121587.4956156,0.59,0.59,0.82,1.84
121587.5554672,0.59,0.59,0.82,1.84
121587.6112339,0.59,0.59,0.82,1.84
121587.6668178,0.59,0.59,0.82,1.84
121587.7215725,0.6,0.6,0.83,1.81
121587.7830779,0.59,0.59,0.82,1.84
121587.8332961,0.59,0.59,0.81,1.85
121587.8841032,0.59,0.59,0.81,1.85
121587.9420512,0.59,0.59,0.81,1.85
121588.0055075,0.59,0.59,0.82,1.84
121588.069106,0.59,0.59,0.82,1.84
121588.1218113,0.59,0.59,0.82,1.84
121588.1805039,0.59,0.59,0.82,1.84
121588.2333449,0.59,0.59,0.82,1.84
121588.2918959,0.59,0.59,0.8,1.87
121588.345538,0.59,0.6,0.84,1.81
121588.4028477,0.59,0.59,0.82,1.83
121588.4660202,0.59,0.59,0.82,1.84
121588.5221219,0.59,0.6,0.83,1.82
121588.5735515,0.59,0.59,0.81,1.84
121588.625269,0.59,0.6,0.83,1.81
121588.6754725,0.59,0.59,0.81,1.84
121588.7371624,0.59,0.59,0.81,1.84
121588.7882836,0.6,0.59,0.81,1.85
121588.8401082,0.59,0.59,0.81,1.84
121588.8911584,0.59,0.59,0.81,1.84
121588.9436132,0.59,0.59,0.82,1.84
121589.0074029,0.59,0.59,0.82,1.83
121589.0575976,0.59,0.59,0.81,1.84
121589.1086937,0.59,0.59,0.81,1.84
121589.1662245,0.59,0.59,0.81,1.84
121589.2218311,0.59,0.59,0.81,1.84
121589.2728771,0.59,0.59,0.82,1.84
121589.3296375,0.59,0.59,0.82,1.84
121589.379818,0.59,0.59,0.82,1.84
121589.4407538,0.59,0.59,0.82,1.84
121589.4934606,0.59,0.59,0.82,1.84
121589.5436174,0.59,0.59,0.82,1.84
121589.5998675,0.59,0.59,0.82,1.84
121589.6632593,0.59,0.59,0.82,1.84
121589.7184735,0.59,0.59,0.82,1.84
121589.7750742,0.59,0.59,0.82,1.84
121589.8280489,0.59,0.59,0.82,1.84
121589.8798227,0.59,0.59,0.82,1.84
121589.9330067,0.59,0.59,0.82,1.84
121589.9961487,0.59,0.59,0.82,1.84
121590.0471377,0.59,0.59,0.82,1.84
121590.0987289,0.59,0.59,0.8,1.87
121590.1510818,0.59,0.59,0.82,1.85
121590.2019245,0.59,0.59,0.82,1.84
121590.2526832,0.59,0.59,0.82,1.84
121590.3038883,0.59,0.59,0.82,1.84
121590.3609916,0.59,0.59,0.82,1.83
121590.4243782,0.59,0.59,0.81,1.84
121590.4881119,0.59,0.59,0.81,1.84
121590.5413504,0.59,0.59,0.8,1.87
121590.5987462,0.59,0.59,0.8,1.88
121590.6498634,0.59,0.6,0.84,1.82
121590.7029094,0.59,0.59,0.82,1.83
121590.7669274,0.59,0.59,0.82,1.84
121590.8298866,0.59,0.59,0.82,1.84
121590.8828813,0.59,0.59,0.82,1.84
121590.9340409,0.59,0.59,0.82,1.84
121590.9857764,0.59,0.59,0.82,1.84
121591.0372805,0.59,0.59,0.8,1.87
121591.0876794,0.59,0.59,0.8,1.88
121591.1481409,0.59,0.59,0.82,1.85
121591.2110829,0.59,0.59,0.83,1.84
121591.2636324,0.59,0.59,0.82,1.84
121591.3215097,0.59,0.59,0.82,1.84
121591.3853091,0.59,0.6,0.83,1.81
121591.4379694,0.6,0.59,0.8,1.87
121591.495672,0.59,0.59,0.81,1.85
121591.5587503,0.59,0.6,0.83,1.81
121591.6229822,0.59,0.59,0.81,1.84
121591.6862658,0.59,0.59,0.8,1.87
121591.737612,0.59,0.59,0.81,1.85
121591.7980634,0.59,0.6,0.84,1.81
121591.8490439,0.59,0.59,0.82,1.83
121591.9007986,0.59,0.59,0.81,1.84
121591.9522449,0.59,0.59,0.81,1.84
121592.0041681,0.59,0.59,0.81,1.84
121592.0673839,0.59,0.59,0.82,1.84
121592.1308708,0.59,0.59,0.82,1.84
121592.1930647,0.59,0.59,0.82,1.84
121592.2438707,0.59,0.59,0.82,1.84
121592.2962893,0.59,0.59,0.82,1.84
121592.3485051,0.59,0.59,0.82,1.84
121592.40956,0.59,0.59,0.82,1.84
121592.4730244,0.59,0.59,0.82,1.84
121592.5368264,0.59,0.59,0.82,1.84
121592.5903687,0.59,0.59,0.82,1.84
121592.6482534,0.59,0.59,0.82,1.84
121592.7022036,0.59,0.59,0.82,1.84
121592.7523514,0.59,0.59,0.82,1.84
121592.8080189,0.59,0.59,0.82,1.84
121592.8708408,0.59,0.59,0.82,1.83
121592.9261729,0.59,0.59,0.81,1.84
121592.9824958,0.59,0.59,0.81,1.84
121593.0462366,0.59,0.59,0.81,1.84
121593.0985328,0.59,0.6,0.83,1.81
121593.158388,0.59,0.59,0.81,1.83
121593.2115178,0.59,0.59,0.81,1.84
121593.2688786,0.59,0.59,0.81,1.84
121593.3324556,0.59,0.59,0.81,1.84
121593.3954539,0.59,0.59,0.81,1.84
121593.4483938,0.59,0.59,0.82,1.84
121593.5016108,0.59,0.59,0.82,1.84
121593.5536926,0.59,0.59,0.82,1.84
121593.6182488,0.59,0.59,0.82,1.84
121593.6689488,0.59,0.59,0.82,1.84
121593.7204885,0.59,0.59,0.82,1.84
121593.7829256,0.59,0.59,0.82,1.84
121593.8467392,0.59,0.59,0.82,1.84
121593.9101224,0.59,0.6,0.84,1.8
121593.9667472,0.59,0.59,0.82,1.83
121594.0207895,0.59,0.59,0.81,1.84
121594.0717732,0.59,0.59,0.81,1.84
121594.1313139,0.59,0.59,0.81,1.84
121594.1814812,0.59,0.59,0.81,1.84
121594.2426868,0.59,0.59,0.82,1.84
121594.3063367,0.59,0.59,0.82,1.84
121594.3604053,0.59,0.59,0.8,1.87
121594.4124257,0.59,0.59,0.82,1.84
121594.4658544,0.59,0.59,0.82,1.84
121594.5200455,0.59,0.59,0.82,1.83
121594.5776191,0.59,0.59,0.82,1.83
121594.641603,0.59,0.59,0.82,1.83
121594.6931143,0.59,0.59,0.8,1.87
121594.7535687,0.59,0.59,0.82,1.84
121594.80826,0.59,0.59,0.82,1.84
121594.8595881,0.59,0.59,0.82,1.83
121594.9125348,0.59,0.59,0.82,1.83
121594.9773355,0.6,0.59,0.82,1.84
121595.0284352,0.59,0.6,0.83,1.81
121595.0882452,0.59,0.59,0.81,1.84
121595.1518526,0.59,0.59,0.81,1.84
121595.2023356,0.59,0.59,0.81,1.84
121595.2542232,0.59,0.59,0.81,1.84
121595.3145241,0.59,0.59,0.81,1.84
121595.377735,0.59,0.6,0.83,1.81
121595.441491,0.59,0.59,0.81,1.83
121595.4924952,0.59,0.59,0.81,1.84
121595.552387,0.59,0.59,0.81,1.84
121595.616633,0.59,0.59,0.81,1.84
121595.6718404,0.59,0.59,0.81,1.84
121595.7280458,0.59,0.59,0.81,1.84
121595.7785357,0.59,0.59,0.81,1.84
121595.8391944,0.59,0.59,0.81,1.84
121595.903318,0.59,0.59,0.82,1.84
121595.9567789,0.59,0.59,0.82,1.83
121596.0155052,0.59,0.59,0.82,1.83
121596.0792658,0.59,0.59,0.82,1.83
121596.1300838,0.59,0.59,0.82,1.83
121596.1814626,0.59,0.59,0.82,1.83
121596.2316161,0.59,0.6,0.83,1.8
121596.2817743,0.59,0.59,0.81,1.83
121596.3333271,0.59,0.59,0.81,1.84
121596.3974262,0.59,0.59,0.81,1.84
121596.4476535,0.59,0.59,0.81,1.84
121596.5093693,0.59,0.59,0.81,1.84
121596.5724671,0.59,0.59,0.81,1.83
121596.6312613,0.59,0.59,0.81,1.83
121596.682999,0.59,0.59,0.81,1.83
121596.7360066,0.6,0.59,0.81,1.83
121596.7866681,0.59,0.59,0.81,1.83
121596.8476071,0.59,0.59,0.82,1.84
121596.91142,0.59,0.59,0.82,1.83
121596.9672008,0.59,0.59,0.82,1.83
121597.0223964,0.59,0.59,0.8,1.86
121597.0865136,0.59,0.59,0.82,1.84
121597.140574,0.59,0.59,0.82,1.83
121597.1948991,0.59,0.59,0.82,1.83
121597.2455173,0.59,0.59,0.82,1.83
121597.3088936,0.59,0.59,0.82,1.83
121597.3611622,0.59,0.59,0.82,1.84
121597.4204247,0.59,0.59,0.82,1.84
121597.473711,0.59,0.59,0.82,1.84
121597.5241574,0.59,0.59,0.82,1.83
121597.5768561,0.59,0.59,0.82,1.83
121597.6271388,0.59,0.59,0.82,1.83
121597.677963,0.59,0.59,0.82,1.83
121597.738228,0.59,0.6,0.83,1.8
121597.7916491,0.59,0.59,0.81,1.83
121597.8504248,0.59,0.59,0.81,1.84
121597.9145777,0.59,0.59,0.8,1.87
121597.9710443,0.59,0.59,0.81,1.84
121598.0255158,0.59,0.59,0.82,1.83
121598.0888927,0.59,0.6,0.83,1.8
121598.1397851,0.59,0.59,0.82,1.83
121598.1920005,0.59,0.59,0.81,1.83
121598.2446096,0.59,0.59,0.81,1.84
121598.2994194,0.59,0.59,0.81,1.84
121598.3539023,0.59,0.59,0.81,1.84
121598.4044257,0.59,0.59,0.81,1.84
121598.4552029,0.59,0.59,0.82,1.84
121598.5061961,0.59,0.59,0.82,1.83
121598.5693273,0.59,0.59,0.82,1.83
121598.6331177,0.59,0.59,0.82,1.83
121598.695579,0.59,0.59,0.82,1.83
121598.745869,0.59,0.59,0.82,1.83
121598.8073275,0.59,0.59,0.82,1.84
121598.8710882,0.59,0.59,0.82,1.84
121598.9344768,0.59,0.59,0.82,1.84
121598.9865517,0.59,0.59,0.82,1.84
121599.0457777,0.59,0.59,0.82,1.84
121599.1095819,0.59,0.59,0.81,1.83
121599.1677352,0.59,0.59,0.81,1.84
121599.2216165,0.59,0.59,0.81,1.84
121599.2741711,0.59,0.59,0.81,1.84
121599.332551,0.59,0.59,0.81,1.84
121599.3833943,0.59,0.59,0.81,1.83
121599.4337224,0.59,0.59,0.81,1.83
121599.486652,0.59,0.59,0.81,1.83
121599.5398592,0.59,0.59,0.82,1.83
121599.6037997,0.59,0.59,0.82,1.83
121599.6554954,0.59,0.59,0.82,1.83
121599.7080618,0.59,0.59,0.82,1.83
121599.7591099,0.59,0.6,0.83,1.8
121599.8098229,0.59,0.59,0.81,1.83
121599.8626632,0.59,0.59,0.81,1.83
121599.9259797,0.59,0.59,0.81,1.84
121599.9894481,0.59,0.59,0.81,1.83
121600.0530178,0.59,0.59,0.81,1.83
121600.1056288,0.59,0.59,0.81,1.83
121600.1557639,0.59,0.59,0.81,1.83
121600.2059135,0.59,0.59,0.81,1.83
121600.2596518,0.59,0.59,0.81,1.83
121600.3235924,0.59,0.59,0.81,1.83
121600.3755249,0.59,0.59,0.81,1.83
