Tiempo en seg,Referencia,Salida,Estado 1 (VC1),Control (Vi)
120374.4656445,0.59,0.6,1.16,1.78
120374.5182303,0.59,0.6,1.15,1.78
120374.5688268,0.59,0.6,1.16,1.78
120374.6189725,0.59,0.6,1.16,1.78
120374.682078,0.59,0.6,1.16,1.78
120374.7344815,0.59,0.59,1.16,1.79
120374.7850445,0.59,0.59,1.16,1.78
120374.8359663,0.59,0.6,1.16,1.78
120374.8861209,0.59,0.59,1.16,1.77
120374.9375975,0.59,0.59,1.15,1.77
120374.9951472,0.59,0.59,1.16,1.78
120375.049174,0.59,0.6,1.15,1.78
120375.1023232,0.59,0.6,1.16,1.78
120375.1564931,0.59,0.59,1.15,1.79
120375.2080389,0.59,0.59,1.16,1.78
120375.2637806,0.59,0.6,1.16,1.78
120375.3144764,0.59,0.59,1.16,1.78
120375.3769657,0.59,0.59,1.16,1.78
120375.4311571,0.59,0.59,1.17,1.78
120375.4838914,0.59,0.59,1.16,1.78
120375.5346312,0.59,0.59,1.16,1.77
120375.5854103,0.59,0.59,1.16,1.78
120375.636622,0.59,0.59,1.16,1.76
120375.6917809,0.59,0.59,1.16,1.76
120375.753678,0.59,0.59,1.16,1.78
120375.8065892,0.59,0.59,1.16,1.78
120375.8598802,0.59,0.59,1.16,1.77
120375.918417,0.59,0.59,1.16,1.79
120375.9712815,0.59,0.59,1.16,1.76
120376.0303142,0.59,0.59,1.16,1.78
120376.0818681,0.59,0.6,1.16,1.78
120376.1346293,0.59,0.58,1.16,1.79
120376.1874534,0.59,0.59,1.16,1.78
120376.238918,0.59,0.59,1.16,1.77
120376.2890672,0.59,0.59,1.16,1.79
120376.3424986,0.59,0.59,1.16,1.78
120376.4008864,0.59,0.6,1.16,1.76
120376.453132,0.59,0.6,1.16,1.78
120376.5109212,0.59,0.59,1.16,1.78
120376.5731141,0.59,0.59,1.16,1.79
120376.6243515,0.59,0.6,1.16,1.78
120376.6837864,0.59,0.59,1.16,1.79
120376.7347106,0.59,0.59,1.15,1.77
120376.7848602,0.59,0.59,1.16,1.79
120376.8350097,0.59,0.59,1.15,1.79
120376.899672,0.59,0.6,1.16,1.78
120376.9508889,0.59,0.6,1.17,1.78
120377.0075672,0.59,0.59,1.16,1.78
120377.0579316,0.59,0.6,1.16,1.78
120377.1175041,0.59,0.6,1.16,1.76
120377.179811,0.59,0.59,1.16,1.78
120377.2314921,0.59,0.59,1.16,1.76
120377.2836126,0.59,0.59,1.16,1.76
120377.3426469,0.59,0.59,1.16,1.78
120377.3947706,0.59,0.59,1.15,1.79
120377.4477462,0.59,0.6,1.16,1.78
120377.4995026,0.59,0.59,1.16,1.78
120377.5608261,0.59,0.59,1.16,1.79
120377.6177672,0.59,0.59,1.16,1.78
120377.6682186,0.59,0.59,1.16,1.78
120377.7220597,0.59,0.59,1.16,1.79
120377.7756705,0.59,0.59,1.16,1.78
120377.8411186,0.59,0.59,1.16,1.79
120377.9040623,0.59,0.59,1.16,1.78
120377.9582027,0.59,0.59,1.16,1.78
120378.0118792,0.59,0.59,1.16,1.79
120378.0633754,0.6,0.6,1.16,1.8
120378.11394,0.59,0.6,1.16,1.78
120378.1709784,0.59,0.59,1.16,1.79
120378.2229618,0.59,0.59,1.16,1.78
120378.279681,0.59,0.59,1.16,1.78
120378.3316293,0.59,0.6,1.16,1.78
120378.3891046,0.59,0.59,1.16,1.76
120378.4598835,0.59,0.59,1.16,1.76
120378.5174545,0.59,0.59,1.16,1.78
120378.5700622,0.59,0.59,1.16,1.76
120378.6218792,0.59,0.59,1.16,1.78
120378.6724423,0.59,0.6,1.16,1.78
120378.7268503,0.59,0.59,1.16,1.76
120378.7799696,0.59,0.6,1.16,1.78
120378.8430495,0.59,0.6,1.15,1.78
120378.9058395,0.59,0.6,1.16,1.78
120378.9567932,0.59,0.6,1.15,1.78
120379.0071809,0.59,0.59,1.16,1.76
120379.0606507,0.59,0.6,1.16,1.76
120379.1108072,0.59,0.6,1.16,1.78
120379.1718405,0.59,0.61,1.16,1.78
120379.2247729,0.59,0.6,1.16,1.76
120379.278476,0.59,0.6,1.16,1.78
120379.3288044,0.59,0.61,1.16,1.78
120379.3920961,0.59,0.6,1.15,1.78
120379.4441488,0.59,0.6,1.16,1.76
120379.501326,0.59,0.6,1.16,1.78
120379.5529575,0.59,0.6,1.15,1.78
120379.6031661,0.59,0.6,1.16,1.78
120379.6553948,0.59,0.6,1.16,1.78
120379.706141,0.59,0.6,1.16,1.78
120379.7595352,0.59,0.6,1.16,1.78
